TEXTURE_TUTORIAL_LOUIE_0,Graphics/UI/Characters/louie0
TEXTURE_TUTORIAL_LOUIE_1,Graphics/UI/Characters/louie1
TEXTURE_TUTORIAL_LOUIE_2,Graphics/UI/Characters/louie2
TEXTURE_TUTORIAL_LOUIE_3,Graphics/UI/Characters/louie3
TEXTURE_TUTORIAL_LOUIE_4,Graphics/UI/Characters/louie4
TEXTURE_TUTORIAL_LOUIE_5,Graphics/UI/Characters/louie5
TEXTURE_TUTORIAL_LOUIE_6,Graphics/UI/Characters/louie6
TEXTURE_ICON_TOMATO_LARGE,Graphics/UI/Ingredients/tomatobig
TEXTURE_WHITE_FLOUR,Graphics/Tiles/Ingredients/Asset_Flour
TEXTURE_ICON_CHECKMARK,Graphics/UI/Misc/icon-checkmark
TEXTURE_ICON_MORE_TEXT,Graphics/UI/Misc/icon-moretext
TEXTURE_ICON_SHOPPING_CART,Graphics/UI/Misc/icon-shop-cart
TEXTURE_ICON_PHONE,Graphics/UI/Misc/icon-phone
TEXTURE_BAR_OUTER,Graphics/UI/Misc/barouter
TEXTURE_BAR_INNER,Graphics/UI/Misc/barinner
TEXTURE_WIN_TUTORIAL_DIALOGUE,Graphics/UI/Misc/window-tut-diag
TEXTURE_WIN_ORDER_INGREDIENT,Graphics/UI/Misc/window-ingred
